group,replicate,fastq_1,fastq_2,antibody,control
WT_L10_ELF5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_ELF5-V5_S23_L003_R1_001.fastq.gz,,ELF5,WT_L10_CONTROL
WT_L10_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-GR-rep1.fastq.gz,,GR,WT_L10_CONTROL
WT_L10_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-GR-rep2.fastq.gz,,GR,WT_L10_CONTROL
WT_L10_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_GR_S72_L008_R1_001.fastq.gz,,GR,WT_L10_CONTROL
WT_L10_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_GR_S60_L007_R1_001.fastq.gz,,GR,WT_L10_CONTROL
WT_L10_GR,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_GR_S63_L007_R1_001.fastq.gz,,GR,WT_L10_CONTROL
WT_L10_H3K27ac,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_H3K27ac_S32_L006_R1_001.fastq.gz,,H3K27ac,WT_L10_CONTROL
WT_L10_H3K27ac,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-H3K27ac-rep1.fastq.gz,,H3K27ac,WT_L10_CONTROL
WT_L10_H3K27ac,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-H3K27ac-rep2.fastq.gz,,H3K27ac,WT_L10_CONTROL
WT_L10_H3K27ac,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_H3K27ac_S57_L006_R1_001.fastq.gz,,H3K27ac,WT_L10_CONTROL
WT_L10_MED1,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_MED1_S34_L005_R1_001.fastq.gz,,MED1,WT_L10_CONTROL
WT_L10_MED1,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_MED1_S48_L006_R1_001.fastq.gz,,MED1,WT_L10_CONTROL
WT_L10_MED1,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-MED1_rep1.fastq.gz,,MED1,WT_L10_CONTROL
WT_L10_MED1,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-MED1_rep2.fastq.gz,,MED1,WT_L10_CONTROL
WT_L10_NFIB,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_NFIB-2_S34_L003_R1_001.fastq.gz,,NFIB,WT_L10_CONTROL
WT_L10_NFIB,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_NFIB_deep_S18_L003_R1_001.fastq.gz,,NFIB,WT_L10_CONTROL
WT_L10_NFIB,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_NFIB_deep_S18_L005_R1_001.fastq.gz,,NFIB,WT_L10_CONTROL
WT_L10_RNAPolII,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_PolII_S37_L005_R1_001.fastq.gz,,RNAPolII,WT_L10_CONTROL
WT_L10_RNAPolII,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_PolII_S41_L005_R1_001.fastq.gz,,RNAPolII,WT_L10_CONTROL
WT_L10_RNAPolII,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_PolII_S4_L001_R1_001.fastq.gz,,RNAPolII,WT_L10_CONTROL
WT_L10_RNAPolII,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_PolII_S6_L001_R1_001.fastq.gz,,RNAPolII,WT_L10_CONTROL
WT_L10_STAT3,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT3_deep_S3_L001_R1_001.fastq.gz,,STAT3,WT_L10_CONTROL
WT_L10_STAT3,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT3_S45_L004_R1_001.fastq.gz,,STAT3,WT_L10_CONTROL
